source,target,relation,system_id
Redshift (warehouse),IAM,unidirectional,analytics_pipeline_01
Athena (ad hoc queries),IAM,unidirectional,analytics_pipeline_01
Lambda (transform),VPC (main),unidirectional,analytics_pipeline_01
Redshift (warehouse),VPC (main),unidirectional,analytics_pipeline_01
Athena (ad hoc queries),VPC (main),unidirectional,analytics_pipeline_01
Lambda (transform),S3 (raw data lake),unidirectional,analytics_pipeline_01
S3 (raw data lake),Lambda (transform),unidirectional,analytics_pipeline_01
Lambda (transform),Redshift (warehouse),unidirectional,analytics_pipeline_01
Redshift (warehouse),Lambda (transform),unidirectional,analytics_pipeline_01
CloudWatch,Lambda (transform),unidirectional,analytics_pipeline_01
Lambda (transform),CloudWatch,unidirectional,analytics_pipeline_01
Route 53,CloudFront (web),unidirectional,billing_platform_01
CloudFront (web),ALB (app),unidirectional,billing_platform_01
ALB (app),ECS Service (billing API),unidirectional,billing_platform_01
ECS Service (billing API),RDS (billing DB),unidirectional,billing_platform_01
ECS Service (billing API),DynamoDB (usage ledger),unidirectional,billing_platform_01
ECS Service (billing API),Stripe API (payments SaaS),unidirectional,billing_platform_01
ECS Service (billing API),Plaid API (bank linking),unidirectional,billing_platform_01
ECS Service (billing API),SQS (billing jobs queue),unidirectional,billing_platform_01
SQS (billing jobs queue),Lambda (invoice generator),unidirectional,billing_platform_01
Lambda (invoice generator),S3 (invoice PDFs),unidirectional,billing_platform_01
Lambda (invoice generator),SNS (billing notifications),unidirectional,billing_platform_01
Lambda (payment reconciler),RDS (billing DB),unidirectional,billing_platform_01
Lambda (payment reconciler),Stripe API (payments SaaS),unidirectional,billing_platform_01
Lambda (payment reconciler),DynamoDB (usage ledger),unidirectional,billing_platform_01
Stripe API (payments SaaS),Lambda (payment reconciler),unidirectional,billing_platform_01
ECS Service (billing API),CloudWatch,unidirectional,billing_platform_01
Lambda (invoice generator),CloudWatch,unidirectional,billing_platform_01
Lambda (payment reconciler),CloudWatch,unidirectional,billing_platform_01
ECS Service (billing API),Datadog Agent (metrics sidecar),unidirectional,billing_platform_01
ECS Service (billing API),IAM,unidirectional,billing_platform_01
Lambda (invoice generator),IAM,unidirectional,billing_platform_01
Lambda (payment reconciler),IAM,unidirectional,billing_platform_01
ECS Service (billing API),VPC (main),unidirectional,billing_platform_01
RDS (billing DB),VPC (main),unidirectional,billing_platform_01
DynamoDB (usage ledger),VPC (main),unidirectional,billing_platform_01
Route 53,CloudFront (support web),unidirectional,support_ticketing_01
CloudFront (support web),ALB (support app),unidirectional,support_ticketing_01
ALB (support app),ECS Service (support web app),unidirectional,support_ticketing_01
ECS Service (support web app),RDS (tickets DB),unidirectional,support_ticketing_01
ECS Service (support web app),DynamoDB (session store),unidirectional,support_ticketing_01
ECS Service (support web app),S3 (ticket attachments),unidirectional,support_ticketing_01
ECS Service (support web app),SQS (ticket events queue),unidirectional,support_ticketing_01
SQS (ticket events queue),Lambda (ticket worker),unidirectional,support_ticketing_01
Lambda (ticket worker),RDS (tickets DB),unidirectional,support_ticketing_01
Lambda (ticket worker),Elasticsearch / OpenSearch (ticket search index),unidirectional,support_ticketing_01
Lambda (ticket worker),Zendesk API (agent console SaaS),unidirectional,support_ticketing_01
Lambda (ticket worker),Salesforce API (CRM),unidirectional,support_ticketing_01
Zendesk API (agent console SaaS),Lambda (ticket worker),unidirectional,support_ticketing_01
ECS Service (support web app),SNS (ticket notifications),unidirectional,support_ticketing_01
Lambda (ticket worker),SNS (ticket notifications),unidirectional,support_ticketing_01
ECS Service (support web app),CloudWatch,unidirectional,support_ticketing_01
Lambda (ticket worker),CloudWatch,unidirectional,support_ticketing_01
ECS Service (support web app),IAM,unidirectional,support_ticketing_01
Lambda (ticket worker),IAM,unidirectional,support_ticketing_01
ECS Service (support web app),VPC (main),unidirectional,support_ticketing_01
RDS (tickets DB),VPC (main),unidirectional,support_ticketing_01
DynamoDB (session store),VPC (main),unidirectional,support_ticketing_01
Elasticsearch / OpenSearch (ticket search index),VPC (main),unidirectional,support_ticketing_01
Segment (event collector SaaS),Kinesis (clickstream events),unidirectional,recommendation_service_01
Segment (event collector SaaS),MSK / Kafka Cluster (behavior stream),unidirectional,recommendation_service_01
Kinesis (clickstream events),Lambda (feature enricher),unidirectional,recommendation_service_01
MSK / Kafka Cluster (behavior stream),Lambda (feature enricher),unidirectional,recommendation_service_01
Lambda (feature enricher),S3 (user features store),unidirectional,recommendation_service_01
Lambda (feature enricher),DynamoDB (user profiles),unidirectional,recommendation_service_01
Lambda (feature enricher),Elasticsearch / OpenSearch (reco logs index),unidirectional,recommendation_service_01
API Gateway (recommendations),Lambda (recommendation API),unidirectional,recommendation_service_01
Lambda (recommendation API),Redis (feature cache),unidirectional,recommendation_service_01
Lambda (recommendation API),DynamoDB (user profiles),unidirectional,recommendation_service_01
Lambda (recommendation API),SageMaker Endpoint (ranking model),unidirectional,recommendation_service_01
SageMaker Endpoint (ranking model),S3 (model artifacts),unidirectional,recommendation_service_01
Lambda (recommendation API),CloudWatch,unidirectional,recommendation_service_01
Lambda (feature enricher),CloudWatch,unidirectional,recommendation_service_01
SageMaker Endpoint (ranking model),CloudWatch,unidirectional,recommendation_service_01
Lambda (recommendation API),IAM,unidirectional,recommendation_service_01
Lambda (feature enricher),IAM,unidirectional,recommendation_service_01
SageMaker Endpoint (ranking model),IAM,unidirectional,recommendation_service_01
Lambda (recommendation API),VPC (main),unidirectional,recommendation_service_01
Lambda (feature enricher),VPC (main),unidirectional,recommendation_service_01
DynamoDB (user profiles),VPC (main),unidirectional,recommendation_service_01
Redis (feature cache),VPC (main),unidirectional,recommendation_service_01
Elasticsearch / OpenSearch (reco logs index),VPC (main),unidirectional,recommendation_service_01
Route 53,CloudFront (auth UI),unidirectional,identity_platform_01
CloudFront (auth UI),ALB (auth service),unidirectional,identity_platform_01
ALB (auth service),ECS Service (OAuth server),unidirectional,identity_platform_01
ECS Service (OAuth server),RDS (identity DB),unidirectional,identity_platform_01
ECS Service (OAuth server),Redis (session cache),unidirectional,identity_platform_01
ECS Service (OAuth server),Cognito (user pool),unidirectional,identity_platform_01
ECS Service (OAuth server),Okta IdP (enterprise SSO),unidirectional,identity_platform_01
Okta IdP (enterprise SSO),ECS Service (OAuth server),unidirectional,identity_platform_01
ECS Service (OAuth server),LDAP Directory (on-prem),unidirectional,identity_platform_01
LDAP Directory (on-prem),Lambda (provisioning sync),unidirectional,identity_platform_01
Lambda (provisioning sync),SQS (provisioning queue),unidirectional,identity_platform_01
SQS (provisioning queue),Lambda (provisioning sync),unidirectional,identity_platform_01
Lambda (provisioning sync),Cognito (user pool),unidirectional,identity_platform_01
Lambda (provisioning sync),RDS (identity DB),unidirectional,identity_platform_01
Lambda (provisioning sync),SNS (security alerts),unidirectional,identity_platform_01
ECS Service (OAuth server),CloudWatch,unidirectional,identity_platform_01
Lambda (provisioning sync),CloudWatch,unidirectional,identity_platform_01
Cognito (user pool),CloudWatch,unidirectional,identity_platform_01
ECS Service (OAuth server),IAM,unidirectional,identity_platform_01
Lambda (provisioning sync),IAM,unidirectional,identity_platform_01
Cognito (user pool),IAM,unidirectional,identity_platform_01
ECS Service (OAuth server),VPC (main),unidirectional,identity_platform_01
RDS (identity DB),VPC (main),unidirectional,identity_platform_01
Redis (session cache),VPC (main),unidirectional,identity_platform_01
API Gateway (upload),Lambda (upload pre-processor),unidirectional,media_transcoding_01
Lambda (upload pre-processor),S3 (raw uploads),unidirectional,media_transcoding_01
Lambda (upload pre-processor),RabbitMQ (encoding jobs queue),unidirectional,media_transcoding_01
RabbitMQ (encoding jobs queue),Encoding Farm (on-prem cluster),unidirectional,media_transcoding_01
Encoding Farm (on-prem cluster),S3 (raw uploads),unidirectional,media_transcoding_01
S3 (raw uploads),Elastic Transcoder / MediaConvert,unidirectional,media_transcoding_01
Elastic Transcoder / MediaConvert,S3 (transcoded media),unidirectional,media_transcoding_01
S3 (transcoded media),ECS Service (thumbnail generator),unidirectional,media_transcoding_01
ECS Service (thumbnail generator),S3 (transcoded media),unidirectional,media_transcoding_01
ECS Service (thumbnail generator),Lambda (metadata extractor),unidirectional,media_transcoding_01
Lambda (metadata extractor),DynamoDB (media metadata),unidirectional,media_transcoding_01
CloudFront (media CDN),S3 (transcoded media),unidirectional,media_transcoding_01
Lambda (upload pre-processor),CloudWatch,unidirectional,media_transcoding_01
ECS Service (thumbnail generator),CloudWatch,unidirectional,media_transcoding_01
Lambda (metadata extractor),CloudWatch,unidirectional,media_transcoding_01
Elastic Transcoder / MediaConvert,CloudWatch,unidirectional,media_transcoding_01
Lambda (upload pre-processor),IAM,unidirectional,media_transcoding_01
ECS Service (thumbnail generator),IAM,unidirectional,media_transcoding_01
Lambda (metadata extractor),IAM,unidirectional,media_transcoding_01
Elastic Transcoder / MediaConvert,IAM,unidirectional,media_transcoding_01
Lambda (upload pre-processor),VPC (main),unidirectional,media_transcoding_01
ECS Service (thumbnail generator),VPC (main),unidirectional,media_transcoding_01
DynamoDB (media metadata),VPC (main),unidirectional,media_transcoding_01
Route 53,CloudFront (ads CDN),unidirectional,ad_serving_platform_01
CloudFront (ads CDN),ALB (ad API),unidirectional,ad_serving_platform_01
ALB (ad API),ECS Service (ad decision API),unidirectional,ad_serving_platform_01
ECS Service (ad decision API),RDS (campaign DB),unidirectional,ad_serving_platform_01
ECS Service (ad decision API),Redis (ad cache),unidirectional,ad_serving_platform_01
ECS Service (ad decision API),DynamoDB (realtime counters),unidirectional,ad_serving_platform_01
ECS Service (ad decision API),Third-Party Ad Exchange API,unidirectional,ad_serving_platform_01
Third-Party Ad Exchange API,ECS Service (ad decision API),unidirectional,ad_serving_platform_01
Kinesis (impression stream),Lambda (click tracker),unidirectional,ad_serving_platform_01
Lambda (click tracker),S3 (raw logs),unidirectional,ad_serving_platform_01
Lambda (click tracker),DynamoDB (realtime counters),unidirectional,ad_serving_platform_01
Lambda (aggregation worker),S3 (raw logs),unidirectional,ad_serving_platform_01
Lambda (aggregation worker),S3 (aggregated reports),unidirectional,ad_serving_platform_01
Lambda (aggregation worker),Redshift (ad analytics warehouse),unidirectional,ad_serving_platform_01
Lambda (aggregation worker),Elasticsearch / OpenSearch (ad search index),unidirectional,ad_serving_platform_01
ECS Service (ad decision API),CloudWatch,unidirectional,ad_serving_platform_01
Lambda (click tracker),CloudWatch,unidirectional,ad_serving_platform_01
Lambda (aggregation worker),CloudWatch,unidirectional,ad_serving_platform_01
ECS Service (ad decision API),IAM,unidirectional,ad_serving_platform_01
Lambda (click tracker),IAM,unidirectional,ad_serving_platform_01
Lambda (aggregation worker),IAM,unidirectional,ad_serving_platform_01
ECS Service (ad decision API),VPC (main),unidirectional,ad_serving_platform_01
RDS (campaign DB),VPC (main),unidirectional,ad_serving_platform_01
DynamoDB (realtime counters),VPC (main),unidirectional,ad_serving_platform_01
Redis (ad cache),VPC (main),unidirectional,ad_serving_platform_01
Redshift (ad analytics warehouse),VPC (main),unidirectional,ad_serving_platform_01
API Gateway (partner),Lambda (webhook router),unidirectional,partner_integration_hub_01
Lambda (webhook router),SQS (incoming webhooks),unidirectional,partner_integration_hub_01
Lambda (webhook router),CloudWatch,unidirectional,partner_integration_hub_01
Lambda (webhook router),IAM,unidirectional,partner_integration_hub_01
Lambda (webhook router),VPC (main),unidirectional,partner_integration_hub_01
SQS (incoming webhooks),Lambda (transformation worker),unidirectional,partner_integration_hub_01
Lambda (transformation worker),EventBridge (internal events),unidirectional,partner_integration_hub_01
Lambda (transformation worker),SQS (outgoing webhooks),unidirectional,partner_integration_hub_01
Lambda (transformation worker),S3 (dead-letter payloads),unidirectional,partner_integration_hub_01
Lambda (transformation worker),Postgres (partner audit DB),unidirectional,partner_integration_hub_01
Lambda (transformation worker),Third-Party CRM API,unidirectional,partner_integration_hub_01
Lambda (transformation worker),Third-Party ERP API,unidirectional,partner_integration_hub_01
Lambda (transformation worker),CloudWatch,unidirectional,partner_integration_hub_01
Lambda (transformation worker),IAM,unidirectional,partner_integration_hub_01
Lambda (transformation worker),VPC (main),unidirectional,partner_integration_hub_01
EventBridge (internal events),ECS Service (mapping config API),unidirectional,partner_integration_hub_01
EventBridge (internal events),Lambda (webhook router),unidirectional,partner_integration_hub_01
ECS Service (mapping config API),DynamoDB (partner configs),unidirectional,partner_integration_hub_01
ECS Service (mapping config API),Postgres (partner audit DB),unidirectional,partner_integration_hub_01
ECS Service (mapping config API),CloudWatch,unidirectional,partner_integration_hub_01
ECS Service (mapping config API),IAM,unidirectional,partner_integration_hub_01
ECS Service (mapping config API),VPC (main),unidirectional,partner_integration_hub_01
Postgres (partner audit DB),VPC (main),unidirectional,partner_integration_hub_01
Route 53,CloudFront (web/app CDN),unidirectional,main_system_01
Route 53,CloudFront (video CDN),unidirectional,main_system_01
CloudFront (web/app CDN),AWS WAF,unidirectional,main_system_01
AWS WAF,ALB (web),unidirectional,main_system_01
CloudFront (video CDN),ALB (API),unidirectional,main_system_01
ALB (web),ECS Service (web frontend),unidirectional,main_system_01
ALB (API),API Gateway (public API),unidirectional,main_system_01
API Gateway (public API),ECS Service (auth service),unidirectional,main_system_01
API Gateway (public API),ECS Service (user profile service),unidirectional,main_system_01
API Gateway (public API),ECS Service (catalog service),unidirectional,main_system_01
API Gateway (public API),ECS Service (search service),unidirectional,main_system_01
API Gateway (public API),ECS Service (recommendation service),unidirectional,main_system_01
API Gateway (public API),ECS Service (playback session service),unidirectional,main_system_01
API Gateway (public API),ECS Service (billing service),unidirectional,main_system_01
API Gateway (public API),ECS Service (subscription service),unidirectional,main_system_01
API Gateway (public API),ECS Service (notification service),unidirectional,main_system_01
API Gateway (public API),ECS Service (download service),unidirectional,main_system_01
ECS Service (auth service),Cognito (user pool),unidirectional,main_system_01
Cognito (user pool),RDS (user accounts DB),unidirectional,main_system_01
ECS Service (auth service),DynamoDB (session store),unidirectional,main_system_01
ECS Service (auth service),Redis (session cache),unidirectional,main_system_01
ECS Service (user profile service),RDS (user accounts DB),unidirectional,main_system_01
ECS Service (user profile service),DynamoDB (session store),unidirectional,main_system_01
ECS Service (user profile service),Redis (session cache),unidirectional,main_system_01
ECS Service (catalog service),Aurora (catalog DB),unidirectional,main_system_01
ECS Service (catalog service),OpenSearch (search index),unidirectional,main_system_01
ECS Service (search service),OpenSearch (search index),unidirectional,main_system_01
ECS Service (search service),Redis (web cache),unidirectional,main_system_01
ECS Service (recommendation service),SageMaker Endpoint (reco model),unidirectional,main_system_01
ECS Service (recommendation service),S3 (feature store),unidirectional,main_system_01
ECS Service (recommendation service),DynamoDB (user features),unidirectional,main_system_01
ECS Service (experiment service),Redshift (analytics warehouse),unidirectional,main_system_01
Redshift (analytics warehouse),ECS Service (experiment service),unidirectional,main_system_01
ECS Service (experiment service),ECS Service (recommendation service),unidirectional,main_system_01
ECS Service (playback session service),DynamoDB (playback state),unidirectional,main_system_01
ECS Service (playback session service),DynamoDB (session store),unidirectional,main_system_01
ECS Service (streaming control service),DynamoDB (playback state),unidirectional,main_system_01
ECS Service (streaming control service),S3 (encoded assets),unidirectional,main_system_01
ECS Service (download service),S3 (encoded assets),unidirectional,main_system_01
ECS Service (download service),S3 (thumbnails),unidirectional,main_system_01
CloudFront (video CDN),S3 (encoded assets),unidirectional,main_system_01
CloudFront (web/app CDN),S3 (thumbnails),unidirectional,main_system_01
ECS Service (device registry service),DynamoDB (device registry),unidirectional,main_system_01
ECS Service (device registry service),DynamoDB (session store),unidirectional,main_system_01
ECS Service (billing service),RDS (billing DB),unidirectional,main_system_01
ECS Service (billing service),SNS (user notifications),unidirectional,main_system_01
ECS Service (subscription service),RDS (billing DB),unidirectional,main_system_01
ECS Service (subscription service),SNS (user notifications),unidirectional,main_system_01
ECS Service (notification service),SNS (user notifications),unidirectional,main_system_01
SNS (user notifications),SQS (email jobs queue),unidirectional,main_system_01
SNS (user notifications),SQS (webhook events queue),unidirectional,main_system_01
SQS (email jobs queue),ECS Service (notification service),unidirectional,main_system_01
SQS (webhook events queue),ECS Service (notification service),unidirectional,main_system_01
S3 (raw uploads),MediaConvert (transcoder),unidirectional,main_system_01
MediaConvert (transcoder),S3 (encoded assets),unidirectional,main_system_01
MediaConvert (transcoder),S3 (thumbnails),unidirectional,main_system_01
ECS Service (encoding orchestrator),SQS (encoding jobs queue),unidirectional,main_system_01
SQS (encoding jobs queue),EC2 Auto Scaling Group (encoding workers),unidirectional,main_system_01
EC2 Auto Scaling Group (encoding workers),S3 (raw uploads),unidirectional,main_system_01
EC2 Auto Scaling Group (encoding workers),S3 (encoded assets),unidirectional,main_system_01
ECS Service (web frontend),Kinesis (clickstream stream),unidirectional,main_system_01
ECS Service (playback session service),Kinesis (playback events stream),unidirectional,main_system_01
CloudFront (video CDN),Kinesis (playback events stream),unidirectional,main_system_01
Kinesis (clickstream stream),MSK / Kafka Cluster (event bus),unidirectional,main_system_01
Kinesis (playback events stream),MSK / Kafka Cluster (event bus),unidirectional,main_system_01
MSK / Kafka Cluster (event bus),Lambda (event enricher),unidirectional,main_system_01
Lambda (event enricher),S3 (analytics raw),unidirectional,main_system_01
Lambda (event enricher),S3 (analytics curated),unidirectional,main_system_01
Lambda (event enricher),Redshift (analytics warehouse),unidirectional,main_system_01
Lambda (event enricher),DynamoDB (user features),unidirectional,main_system_01
S3 (analytics raw),Glue Data Catalog,unidirectional,main_system_01
S3 (analytics curated),Glue Data Catalog,unidirectional,main_system_01
Glue Data Catalog,Athena (ad hoc queries),unidirectional,main_system_01
Glue Data Catalog,Redshift (analytics warehouse),unidirectional,main_system_01
ECS Service (web frontend),Redis (web cache),unidirectional,main_system_01
ECS Service (auth service),Redis (session cache),unidirectional,main_system_01
ECS Service (user profile service),Redis (session cache),unidirectional,main_system_01
ECS Service (web frontend),CloudWatch,unidirectional,main_system_01
ECS Service (auth service),CloudWatch,unidirectional,main_system_01
ECS Service (user profile service),CloudWatch,unidirectional,main_system_01
ECS Service (catalog service),CloudWatch,unidirectional,main_system_01
ECS Service (search service),CloudWatch,unidirectional,main_system_01
ECS Service (recommendation service),CloudWatch,unidirectional,main_system_01
ECS Service (playback session service),CloudWatch,unidirectional,main_system_01
ECS Service (streaming control service),CloudWatch,unidirectional,main_system_01
ECS Service (billing service),CloudWatch,unidirectional,main_system_01
ECS Service (subscription service),CloudWatch,unidirectional,main_system_01
ECS Service (notification service),CloudWatch,unidirectional,main_system_01
ECS Service (encoding orchestrator),CloudWatch,unidirectional,main_system_01
MediaConvert (transcoder),CloudWatch,unidirectional,main_system_01
EC2 Auto Scaling Group (encoding workers),CloudWatch,unidirectional,main_system_01
Lambda (event enricher),CloudWatch,unidirectional,main_system_01
SageMaker Endpoint (reco model),CloudWatch,unidirectional,main_system_01
CloudWatch,S3 (logs archive),unidirectional,main_system_01
ECS Service (web frontend),Datadog Agent (metrics sidecar),unidirectional,main_system_01
ECS Service (playback session service),Datadog Agent (metrics sidecar),unidirectional,main_system_01
ECS Service (recommendation service),Datadog Agent (metrics sidecar),unidirectional,main_system_01
ECS Service (web frontend),AWS X-Ray,unidirectional,main_system_01
ECS Service (playback session service),AWS X-Ray,unidirectional,main_system_01
ECS Service (recommendation service),AWS X-Ray,unidirectional,main_system_01
ECS Service (auth service),IAM,unidirectional,main_system_01
ECS Service (catalog service),IAM,unidirectional,main_system_01
ECS Service (recommendation service),IAM,unidirectional,main_system_01
ECS Service (playback session service),IAM,unidirectional,main_system_01
ECS Service (encoding orchestrator),IAM,unidirectional,main_system_01
MediaConvert (transcoder),IAM,unidirectional,main_system_01
SageMaker Endpoint (reco model),IAM,unidirectional,main_system_01
RDS (user accounts DB),KMS (encryption keys),unidirectional,main_system_01
RDS (billing DB),KMS (encryption keys),unidirectional,main_system_01
Aurora (catalog DB),KMS (encryption keys),unidirectional,main_system_01
S3 (encoded assets),KMS (encryption keys),unidirectional,main_system_01
S3 (logs archive),KMS (encryption keys),unidirectional,main_system_01
ALB (web),VPC (main),unidirectional,main_system_01
ALB (API),VPC (main),unidirectional,main_system_01
